188,seg_v5_7_188_chunk0,"The risk to the public from the occurrence of avian flu in seals is low, but beachgoers should take precautions anyway, NOAA representatives said.",Reassuring
1645,seg_v5_1_1645_chunk0,"Earlier this month, FDA Commissioner Dr. Robert Califf issued a stark warning on Capitol Hill about Bird Flu, the Daily Mail reported:",Alarmist
1645,seg_v5_4_1645_chunk0,""The real worry is that it [the virus] will jump to the human lungs where, when that [jumping to the human lungs] has happened in other parts of the worldâ€¦ the mortality rate has been 25 percent."",Alarmist
760,seg_v5_005_760_chunk0,"The risk to humans from the bird flu virus remains low, according to the federal Centers for Disease Control and Prevention.",Reassuring
961,seg_v5_3_961_chunk0,The outbreak followed several outbreaks among poultry farms in Europe and Asia in recent weeks in a sign the virus is spreading quickly again.,Alarmist
1055,seg_v5_3_1055_chunk0,"It [HPAI] spreads easily among birds through nasal and eye secretions, as well as manure, and it [HPAI] can prove deadly in domestic poultry.",Alarmist
1055,seg_v5_15_1055_chunk0,"While an Asian HPAI virus has resulted in high deaths in poultry and wild birds throughout Asia, the Middle East, Europe, and Africa since 2003, the risk of humans contracting the virus still remains low and no cases of avian influenza infection have been detected among humans in the United States.",Reassuring
258,seg_v5_001_258_chunk0,"Veteran influenza epidemiologist Keiji Fukuda remembers vividly when he first became fearful that a virulent bird flu virus, H5N1, might be on the verge of triggering a devastating pandemic.",Alarmist
258,seg_v5_038_258_chunk0,But what worries me right now is that this [situation] is a change in the epidemiology and the ecology of the disease. So we're absolutely seeing more chances of people coming in contact with this virus [H5N1].,Alarmist
258,seg_v5_066_258_chunk0,"'If we look at the virus and the sequence of it, there's nothing that suggests to us that it's become more infectious.",Reassuring
258,seg_v5_068_258_chunk0,"'The virus may be the same, but there's just a whole lot more of it out there.'",Alarmist
258,seg_v5_086_258_chunk0,'There will be a new pandemic for sure.,Alarmist
258,seg_v5_087_258_chunk0,"'There will be a new pandemic for sure. Whether it [the new pandemic] is this one [H5N1], I don't know.",Alarmist
258,seg_v5_091_258_chunk0,'I think it's a major problem for the agricultural industry.,Alarmist
258,seg_v5_104_258_chunk0,"'The real challenge is whether people, whether governments, whether policymakers have the ability to actually address the challenge in the way that needs to be done. And I [Fukuda] don't see so much which encourages me, to be blunt. And I [Fukuda] don't see so much which encourages me, to be blunt. That's [not seeing encouragement] what gives me a pit in my stomach.'",Alarmist 